title,content,sentiment
Jaque was exceptional,"Jaque was exceptional. Guided me through the process, particularly the payment from the US, kept me informed about status and also important acted so quickly. Angelo was also very quick in his responses until he went on holiday. Our first proof came back only hours after I enquired whether they could handle without customs to South Africa.",
Quick Customer Service,Max was super great and quick to follow up at each stage of my ordering process. The bottles were made quickly and arrived perfect!,
Justin was very responsive. Great service!,"Justin was very responsive and when we spoke, asked all the right answers. All of my questions and concerns, including the speed of shipping, were answered. Drives actually arrived 2 days early. I will definitely go back to them if I need more.",
Great Customer service,"Great Customer service, efficient, and punctual and friendly!",
Flash Drives with our logo on,"Product is great, Conor Kennedy is very attentive to my request via email and phone calls. Very much appreciated.",
Donovan Rains is an amazing employee,Donovan Rains is an amazing employee! He was prompt to return emails and phone calls and worked with our organization with a rush order. The quality and artwork were phenomenal. The Senator and Mayor were truly impressed with the gift.,
Ellie has been great and patient,"Ellie has been great and patient. She's been working with me for a long time, and this is the first time my budget allowed a purchase.

Keep up the good work.",
Excellent service and product,"Flashbay was prompt with their responses, provided full rendition of what the product would like like with our custom artwork, was flexible with our changing requirements and sent several iterations of quotes. The product arrived on schedule and is true to the images. Great service!",
prompt patient service and I love the…,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Flashbay Custom Drives,Jill at Flashbay was a breeze to work with on our recent flash drive project. We were going for a specific look and she responded quickly to each request in order for the product to meet our wants and needs. We will definitely be using Flashbay for future products.,
Great webcam covers,Great company. Quick response from customer service. They were on top of everything. Product was perfect. Would definitely order from them again.,
Awesome customer service with Shelby!,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Trust pilot removed the previous review…,Trust pilot removed the previous review for some reason so posting again.. good company from my dealings with them.,
Beatrice was very helpful,"Beatrice was very helpful, the price was great, and it waw delivered early. What more could I ask?",
Shelby Gibson was familiar with the…,"Shelby Gibson was familiar with the Nixon Peabody account, was thorough by sending visuals of final product and quote, patient during the NP internal approval process, pleasant to work with and available for any follow ups.",
Review for Shelby Gibson and Flashby,Shelby was very nice and professional. Her follow through was extremely fast and thorough. I liked that she screen shot our logo onto product pictures she emailed to me. She let me know when to expect my order and made sure I was satisfied.,
Flashbay was very responsive,"Flashbay was very responsive, professional, and fast shipping, and the final product turned out great!",
I placed an inquiry on the website…,"I placed an inquiry on the website needing items for an upcoming trade show was contacted pretty quickly. Ellie was fantastic to work with, she helped me through all of my questions and sent me samples as well as visual examples with my company logo. the product is very high quality and the staff is extremely knowledgeable. We will be ordering more from this company.",
Exceeded expectations,"Flashbay was fantastic to work with. They were able to accommodate my needs in a tight timeline, and my items (which turned out beautifully) shipped and arrived well before I expected, which really put my mind at ease. RJ was very helpful, friendly, super quick to respond, and a pleasure to work with. I'd definitely recommend.",
I have zero issues with the flash…,"I have zero issues with the flash drives.
Love the graphics on the USB drives.",
Good pricing and extremely responsive…,Good pricing and extremely responsive customer service from Alex White. We will definitely be using Flashbay again in the future.,
Our customer service rep,"Our customer service rep, Ellie, was absolutely wonderful to work with. And we love the company and all it stands for. We were very pleased with how the imprinted product turned out!",
Happy Customer,Communications with Representative Donovan Rains made this a fast and easy transaction. He showed a genuine concern to please us.,
Fast and Quality Service,Max from Flashbay was extremely helpful and responsive. We received our order quickly and love the end product. It's rare to have this kind of customer service in today's world. Kudos to Flashbay!,
Savanna charger,Great communication throughout the process. Amazing product that I highly recommend,
Highly Recommend,Brian made the whole process easy and the quality of our finished products is outstanding.,
Great customer service,"Great customer service, fast delivery, quality products.",
Perfect experience,Perfect experience! Great consumer support,
Extremely quick and responsive,Extremely quick and responsive- Jackson Cassidy provided great service worked with me to answer all questions quickly and made sure to follow up after the order was delivered to ensure satisfaction.,
Great Experience,"Brian Truong was great to work with, our order arrived quickly and looks perfect.",
I will definitely give them repeat business.,"They responded promptly and provided relevant responses for all of my inquiries. The delivery was unexpectedly rapid. And after looking over the variety of sample drives they have sent to me, I will definitely give them repeat business.",
Excellent product and great…,Excellent product and great communication. Trey Jordan was our contact and did a fantastic job making sure we got the product we wanted within our budget.,
Trust pilot removed the previous review…,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
The sales rep we worked with was quick…,The sales rep we worked with was quick to respond and transparent with pricing. Shipping time was fair!,
Great customer service and the chargers…,Great customer service and the chargers came out great. Highly recommend this company and Marcus.,
Good presentation team is excellent and…,Good presentation team is excellent and looks like professionals,
Excellent Service and Product from Start to Finish,"I have never ordered custom items from a better company. They were so on top of everything. Sent me physical examples right away to choose from, and responsive along the way. I will be recommending this company to everyone I know. Shout out to Heiu who was great to work with.",
The cups are great!,"Olivia was very helpful in this process. She worked with us with cost and design, quickly and efficiently. The end product got to us very quickly and look great! Hopefully the kids this summer will enjoy them as well.",
Awesome experience,Completely fluid and efficient experience. Max T. was a pleasure to work with and made it a point to check in at each point during the process. It's rare to see someone who genuinely cares about their job nowadays so this was a very refreshing experience. The comprehensive sample kit of USBs that they sent also really impressed me.,
"The sales team was topnotch, quality products","The sales team was topnotch. Nick provided several options by email and followed up with a kit of sample products. He helped me determine what was my best option for gifts for a recognition dinner. He even provided a sample art work mock up which I ended up incorporating into the design on the items we ordered. He helped me work within my budget. The items arrived within the expected time and in good condition. Turnaround time was a week, which I thought was excellent. Flashbay has a number of high quality promotional products. I appreciated the personal customer service. I felt like a valued customer and not just a number in a sea of other orders. My rep was available by phone or by email. When he wasn't available another rep answered my question on the same day. I also appreciate that the products come with a warranty. We purchased power banks. Important when the promotional items will be interfacing with people's electronic devices.",
Great Service,"Ellie was extremely helpful and responsive as we were trying to make a decision on the products and style we wanted to go with. She sent out multiple samples on different occasions that were here for us to look at the next day, and was equally efficient during the back-and-forth of the final design process. These folks seem to be ""on the ball"" and very invested in making the experience an informed and easy one!",
Communication was good with each step…,Communication was good with each step of the ordering process. Items were received ahead of schedule.,
Ellie was wonderful to work with,Ellie was wonderful to work with! She helped us every step of the way and worked with all of our changes quickly and efficiently! Great customer service!,
Great Collapsible Water Bottles,Brian was a breeze to work with. He quickly sent samples of the bottles we were interested in. Shipping was fast and our items came out perfectly. Will definitely use again!,
Jill was great!,"Jill was great!
She was responsive and quick with everything! Cant wait to order more supplies",
Water bottles,"Easy, friendly service with quick response time. I ordered team bottles and they turned out beautifully.",
Would Purchase Again,Very nice USBs. The quality of the design on the USBs looks great. Great service from Conor. I would purchase them again.,
Rachel Gutierrez was extremely helpful…,Rachel Gutierrez was extremely helpful from the start. She provided great suggestions and was very quick and responsive.,
Stellar Promo Product that Everyone Wants!,Flashbay's products are high quality and look absolutely stellar. I ordered branded micro USB drives and they were the hit of the trade show. Everyone was impressed and happy to receive one! Their customer service/sales department is top notch - incredibly helpful and never left me waiting on a response. I will definitely be ordering from Flashbay again in the future.,
Quick turnaround,Quick turnaround. Excellent customer service. Prompt service. Great product quality!,
"Top Notch Service, 5 Star Experience and Product","Our account manager Brian Truong gave us the “white glove” treatment and ensured our order was completed and delivered on time and to our standards and specifications. There were also payment issues that were caused by our error(s), and he went out of his way to solve them in a very tight timeline and with the patience of Saint. He made all the difference, and we will continue ordering our work products and conference swag through Flashbay because of this experience.",
Amazing service and quick delivery!,"Date of experience: March 18, 2024",
Conor at Flashbay was very attentive…,Conor at Flashbay was very attentive throughout the order process. He helped me find the best products and made sure the items that I ordered were exactly as I was looking for. Conor provided excellent customer service. I will definitely order from flashbay again.,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Sierra Coral made the entire…,Sierra Coral made the entire transaction super easy although we took a little long in finalizing the payment. However she was very professional and patient!,
Jill consistently goes above and beyond…,Jill consistently goes above and beyond to ensure customer satisfaction and follow up throughout the quote process to the finish product. Great to work with Jill someone who is both polite and professional.,
10/10 would order again,"Flashbay did such a good job on our rush project - I needed 250 solar phone battery banks for an event in 11 days, and they delivered, as promise in 8 days. Printing looked perfect, and they arrived charged. Everyone in the office is quite impressed, and can't wait to hand them out at the next two expos we're exhibiting at!

Our rep called the day it arrived to make sure everything was as expected.

10/10 will use Flashbay again!",
Olivia took good care of me,"Olivia took good care of me. She was proactive in asking if I needed a reorder this year, and assisted with all information needed to change graphics. There was an issue with my payment process, so she requested another option that worked for my company. Then, my order arrived and I can't be happier with the visual.",
The customer services professionalism,"The customer services professionalism, willingness to work beyond measure and the outcome of the product",
Great and easy experience,The Sales Manager that we worked with. Ellie made everything so smooth and had a great personality.,
Great follow-up,"Great follow-up, easy to place order and complete transaction. All products arrived quickly and in tact.",
Fast delivery,"Appreciated that I was able to speak with an actual person over the phone, got sent a great sample packet, and once I placed the order it was super fast delivery. Happy with the end product.",
I had a fantastic experience from start…,"I had a fantastic experience from start to finish with
Brian Truong from Flashbay! I was pleasantly suprised when all of my questions to be answered so thoroughly, and were even met with additional suggestions I didn't think of! I was originally hesitant to get samples, but wow, they helped a TON! Brian's suggestion to do so allowed me to make a better decision and a much faster one at that! The items arrived very quickly and communication was absolutely seamless. I'm impressed and will be telling all of my colleagues about Flashbay!",
The whole experience from beginning to…,"The whole experience from beginning to end was excellent. Randall worked with me throughout the process and was more than happy to make changes to the logo colors and send proofs until I was satisfied with the result.

He reached out to me after the usb drives were delivered to make sure everything worked. I would definately purchase from Flashbay again!",
Great Experience,"We had a great experience, the product looks great and arrived quickly and our sales rep Brian was very responsive and made sure that we had all the information we needed and our merch looks absolutely fantastic.",
Great response tGreat response time and got our items shipped quickly!ime and got our items…,Great response time and got our items shipped quickly!,
Ellie Hoecker was a pleasure and very…fantastic,"Ellie Hoecker was a pleasure and very helpful to work with. When we were not sure of the items, she would send me suggestions that would work for our company.
Again, Ellie was so patient with us and was willing to help us decide on the products we were going to use on this project.
It has been a pleasure working with Ellie Hoecker and FLashbay.
Thank you,
Maryann Guthrie
The Children Center of Hamden
2032482116 ext. 374",
Great Product Great Service,"We got the pen usb, very cool and very happy with it. Great customer service!",
Great service,"Great service, products, amazing customer support products arrived quickly highly recommended",
Excellent customer service (thank you,"Excellent customer service (thank you, Rachel!) I loved having the samples to look at, and the turnaround was also very quick.",
Excellent Customer Service & Quality,"The company was very quick in responding to requests, getting the exact product and logo placement perfect, and gettting the final product delivered. The overall cost of the product with delivery included was also significantly better than their competion. I will use this company for future customized products. Competitors just can't compare.",
Very helpful staff and super fast…,Very helpful staff and super fast turnaround.,
The sample product shipped to me the…,"The sample product shipped to me the very next day, which makes the decision much easier. Sales Rep Olivia is great to work with. Will definately order from you again in the future.",
Fast and easy ordering for a good product...,I was needing some good quality swag items for our company welcome kits and Olivia knocked it out of the park in terms of providing a good product at a fair price both quickly and correctly. Reorder was a breeze and allowed for quick overturn and delivery. Will definitely continue coming back for items as needed.,
Great Experience,"Great customer service, quick delivery, excellent product!",
Service was great. Product is exactly what we wanted.,"Service was great. Product is exactly what we wanted. Donovan took care of our order. He found a product that was within our price range, and it arrived on-time.",
Product was great and turnaround time…,Product was great and turnaround time was faster than expected. Most of all communication between salesperson was excellent especially with follow ups. Planning on purchasing again,
Great customer service,Great customer service. Quick response and product was exactly what I wanted.,
Great salesperson!,The agent was very repsonsive and helpful.,
Brain communicated with me the entire…,Brain communicated with me the entire process. My questions were answered and in a timely manner.,
Eric was extremely helpful through out…,Eric was extremely helpful through out the process and worked with us to make our vision come to life. The quality and lead time were exceptional!,
The Best!,"Quick, easy ordering. Jill Kavanagh has been very helpful and responds quickly!",
Great quality product,"Great quality product, fast and clear communication, on-time delivery! We had an awesome experience with Angelo and team getting 80 custom notebooks delivered to our Taiwan office!",
My first order with this company,"The rep that was assigned to my inquiry concerning USB drives with my logo was great. We exchange several emails and agreed on a price and the graphics.
I was impressed with the quality and the extremely fast shipping of my order. I will definitley be ordering in the future with Olivia Gordet. She was awesome thru the process and very communicative.",
great product,"Date of experience: February 21, 2024",
great products,I received the products on time before our meeting. The quality and look of each one was perfect promoting our brand.,
Highly Recommend,My experience was so easy and seamless. I have been using Flashbay for about 10 years now and highly recommend then.,
Very Positive Experience!,"Our account manager, Ellie, was incredibly helpful and responsive to questions. She made it a completely painless experience from start to finish and the product was high quality and exactly as promised. We will undoubtedly be back again for more!",
"Responsive, reliable, and great products!",The Flashbay team was very responsive and reliable. They were kind enough to send samples for us to take a look at. Delivery time was short and came in sooner than we expected. We are very happy with the product we ordered. The print looks great and our team is excited to use them!,
Great customer service,"They were accommodating with my time frame and price was competitive. I was able to get a large order in and delivered within 2 weeks, so far very satisfied.",
Great Experience,Great Experience! Thanks as always!! Y'all always do a great job.,
360 degrees of satisfied,The company was fast with response time and listed to our department needs/wants when it came to design. Production time was also extremely fast. Would recommend using Flashbay.,
"2 Orders, 2 Great Results",Placed 2 different orders with Rachel Gutierrez. Excellent service from her AND both products were exactly like the mock-ups she emailed me. Flashbay will be my first choice if we need more of our company-branded USB drives.,
Great service,"They kept great communication through entire process, until the product was in my hands. Great, fast and efficient and the end product looked great. Thank you!!",
It was easy to order,"It was easy to order, easy customer service and fast turn around. The bags turned out amazing!",
Great Customer Service,"Great Customer Service
Hieu handled getting me proofs, quotes in a timely manner. Product was on point and delivered a week early than expected. I did my homework, and Flashbay delivered a home run! Water bottles were exactly what I expected!",
Ellie is AWESOME,"""I couldn't be happier with the service provided by Ellie! Ordering marketing materials has never been easier. The quality of the materials exceeded my expectations, and the customer support team was incredibly helpful throughout the process. I highly recommend Ellie to anyone looking for efficient and reliable marketing material solutions!""",
Great Service.,"Great Service.
From start to finish Ellie provided outstanding customer service. She took time to reach out to confirm our needs and set expectations for production and delivery. She also followed up after delivery to ensure we received exactly what we ordered. This part of B2B interaction is a lost art in most cases, not so in this instance. Well Done! Thank you! ATC Industries",
Ellie is amazing!,Ellie got back with me about my inquiry quickly and was so helpful. She coached me about all the different options and followed up regularly. The order came in quickly and without any drama. My experience with this company was outstanding.,
Thank you Flashbay!,Randall was so helpful in following up with us and completed our order very quickly. Much appreciated and very happy with the product!,
Great Customer Service,RJ helped make this process seamless! He was on top of it with all of my edits and requests - really appreciate it!,
Alex was wonderful to work with,Alex was wonderful to work with. Prompt and efficient .,
Great Quality - Fast Turnaround,"Our sales rep, Max was very attentive and easy to work with. We absolutely love our new flash drives, they look great, and the turnaround time is amazing for these beautifully customized items.",
New customer,Extremely good customer service and turn around time,
Look Great!,They came out really nice. Color Quality was really good as well.,
"Easy, Helpful, and Great!","I'm really glad I found Flashbay! Their website made it easy to connect with the wonderful Olivia who was happy to help me with anything. She quickly sent out a box with a large variety of samples of flash drives which made it easy to pick out my favorites. Even when my event got postponed, Olivia continued to check-in to see if I needed anything (but not too often where it became a nuisance). Once my event was rescheduled, I reached out to Olivia who quickly helped me finalize my flash drive order. She made the whole process smooth and easy. The flash drives turned out fantastic and I would definitely order from them again!",
Great Quality and Fast Delivery,We love the fast response and quick delivery. The products are good quality and the imprinted logo looks great. Plus our account rep Jill Kavanagh is absolutely the best!,
Communication was great on their end,Communication was great on their end. Easy to work with. The price was very competitive. Will absolutely buy from again.,
Donovan was very helpful and kind…,Donovan was very helpful and kind throughout the process.,
Beautiful quality (water bottles) very…,Beautiful quality (water bottles) very fast turnaround..easily met my deadline,
Excellent customer service and great…,Excellent customer service and great quality branded drinkware!,
Great Service and Product,"Alex White was who I worked with, and I couldn't have asked for a more pleasant experience. He was so knowledgeable and helpful. We were also pleased with the quality of the product and the quick ship times.",
Great customer service with quick turn around times!,"Date of experience: February 02, 2024",
Customer Service,"The associate that I worked with, Randall McCune Jr, was excellent to work with. He did what he said he would do, his follow through was some of the best I have ever experienced. Keep up the great work.",
Olivia was very helpful in helping us…,Olivia was very helpful in helping us get the product we really wanted. The design team was great as well.,
service was great,service was great. very responsive and quick,
Ellie did a great job of processing the…,Ellie did a great job of processing the order quickly. This is my second order of this process and both both have gone really well.,
Excellent process from start to finish!!,"My representative, Donovan, was extremely helpful to direct me toward the product that best fit my needs and budget. He even sent me samples to help me pick my favorite. There were several great options and the customization turned out excellent. I'm very happy with the customer service, price, quick delivery, and final product.",
Responsiveness & Quality,"Responsiveness, options made available, prompt completion of order, deliver quickly of exactly what we ordered, quality of item was top level.",
Satisfied,Arrived earlier than expected with high quality design.,
Great customer service from Alex White,"Date of experience: January 31, 2024",
Great service!,Donovan was excellent! He helped facilitate the order quickly and the drives we received were exactly as ordered.,
Ellie Hoecker did a fantastic job of walking me through the entire process. She was very friendly and courteous.,Ellie Hoecker did a fantastic job of walking me through the entire process. The products I ordered turned out great. I highly recommend Flashbay.,
Thanks!,Great customer service.,
Great Customer Service,"The customer service experience with flashbay is amazing! They are extremely responsive and personable. Also, the products are unique and high quality.",
Matt was amazing to work with,Matt was amazing to work with. I requested several changes to my order and he was quick to respond. Turnaround time was unbelievably quick. We are absolutely thrilled with the product.,
Great Customer Service at Flashbay!!!,Sierra Corral was very helpful on helping us through your process. Thank you,
Great communication and updating by the…,Great communication and updating by the team!,
Great price and super fast processing,"Great price and super fast processing. I was impressed by how quickly we were able to get our order made and delivered to us. Customer service was great, quick and responsive with very clear communication.",
Great Service!,Rachel was so quick to respond and very professional. She followed up with every step of the way and made me feel at ease with everything. Product turned out fantastic. Will use again in the future!,
Seamless process and great product!,"Date of experience: January 26, 2024",
Quality product,"Quality product, good price, availability and turnaround are quick. My Customer Service Agent was excellent",
Great design easy to order,"Date of experience: January 18, 2024",
Jill the G.O.A.T,What made my experience great is Jill from Flashbay. Jill is a fast responsive messenger who will always go above and beyond to ensure the satisfaction of each product I am looking into. Jill will send me samples of what our logo would look like on each product and there was never a time where I have been dissatisfied.,
Max Tumpson form Flashbay responded to…,Max Tumpson form Flashbay responded to my quote inquiry within minutes of my request. He followed up and responded to any questions or concerns I had about my order and made the whole process seamless and easy. I will definitely be ordering from them again.,
Lane was so very helpful,"Lane was so very helpful. We needed a quick turn around to take these to a conference. He quickly got us the proof design, changed a few things, invoiced, and payed all in 1 day.

He was a pleasure to work with",
Marcus was what made my order happen,"Marcus was what made my order happen! He responded immediately, sent me water bottle samples the next day, called and emailed and made changes that I asked for and suggestions. If it weren’t for his amazing customer service I would probably be still looking around!",
I had a great experience working with…,"I had a great experience working with the flashbay team. They were extremely responsive and knowledgeable and got the product to me very quickly.

Will be purchasing from flash bay again for my business.",
GREAT Experience,"Flashbay works with you and your company/personal branding needs. Flashbay has GREAT prices, great customer service, very prompt in their responses, professional and over all a very easy process. If you are seeking a personal recommendation on an agent to speak to is Hieu Truong. Mr. Truong listened to my needs to present to my leadership team, he provided samples same day, even a sample box was sent to me the next day to present, he listened to my other vendor research in pricing and even offered a better price that my company could not refuse. I thank him and his management team for a great experience.",
Personalized Journals,"I ordered personalized journals to give out at a workshop. I worked with Nick Mahaleris, Group Leader, and it is clear why he is a leader. He is calm, knowledgeable, responsive, consistent, and I ended up with a great product.",
Great service. Excellent quality!,Very prompt and efficient responses as we were developing the design for the product. Conor K. was so helpful through every step of the process. It was a quick turnaround once the order was placed. My company couldn’t be more pleased with the quality.,
Customer service,"Customer service, price, product, and production speed was all excellent!",
Sierra was incredible to work with,"Sierra was incredible to work with. She was responsible, super helpful and very accommodating! The process to order the product was seamless, and the product arrived in perfect condition and super fast! Thank you again.",
Donovan was very fast!,"Donovan was very fast in returning my email, providing the quote, and facilitating the order. And the custom artwork exceeded my expectations.",
Great Experience,Very easy to work with and extremely responsive representative. Great product and customer service was well above expectations.,
Excellent Customer service and super…,Excellent Customer service and super fast product arrival,
Great Customer Service Experience and Quality Product,I had a good customer service experience working with Marcus he was very thorough and helpful throughout the process making it a smooth and easy purchase. I will definitely order again from Flashbay.,
Porch Pirates ....can not get a Flashbay package,I live in a non-gated community of single family dwelling that has seen an increase of 'porch pirates' (package thieves) and the team(s) at Flashbay explored delivery options that allow me to make a my purchase if its product and have it safely and securely held until I was able to retrieve the package.,
Brian Truong was fabulous,Brian Truong was fabulous. He answered every question and stayed in close touch from start to finish.,
The experience was so smooth from start…,The experience was so smooth from start to finish! I really appreciated Connor really helping me execute my vision for our tumblers and we are very satisfied. They came out great!,
Great Service,Nick is so great to work with! He answered all of my questions and gave me exactly what I needed.,
Follow through is great and it was…,Follow through is great and it was really easy and efficient to order everything. Sierra even took care of our order when Fed Ex lost it.,
For my first experience with the…,For my first experience with the company it was great! Very easy to work with my representative- Donovan- and the communication really helped ensure the product I received was perfect. Looking forward to working with Flashbay again soon!,
Product looked phenomenal and shipped…,"Product looked phenomenal and shipped fast. Max Tumpson was extremely helpful. Prompt on communicating and revisions of the designs. Overall, couldn't be happier with the product received and customer service.",
Great company,Great company. Very easy to work with. Very fast turnaround time. Matt helped us out tremendously. He made the process as seamless as possible. We will definitely be working with them in the future!,
They worked with me to get exactly what…,They worked with me to get exactly what we needed. It was very simple and uncomplicated,
Quality product and service,"- Quality product
- Great imprint quality
- Excellent customer service
- Templates provided for accurate art sizing/placement",
Easy,"Easy/straight-forward process, great presentation, knowledgeable/helpful customer service. Thanks again!",
Ellie was great to talk to and she…,Ellie was great to talk to and she guided me throughout the entire process of creating the USBs. The USBs turned out fantastic.,
Fast Production for Last Minute Branded USBs!,"I needed to order USB bracelets for a trade show in 2 weeks. My account manager, Olivia, was extremely helpful in providing information and a quote and getting my order into production ASAP to meet the delivery deadline. There was an issue at customs, which Olivia helped to resolve quickly to ensure the delivery was not affected. I will definitely be using Flashbay again!",
Excellent service and product,"Justin was very responsive to our requests. When we suddenly had to change shipping information the last minute, he immediately took care of it. Very satisfied with the service and the water bottles we received.",
You Can Trust Flashbay!,Marcus did a great job of getting me exactly what I needed. Everything went very smoothly.,
Olivia is great!,"Olivia was prompt with my requests and handled everything well. We already received our shipment and are pleased with the results.
Thank you.",
Awesome company,"Product was as requested and arrived earlier than scheduled.
Randall was excellent customer service and replied to all my questions within an hour.
Will do business with again.",
Great final product.,"The cube looks great. The images look sharp (not grained). Matt helped me with the specs for the cube. Followed up with me when I got silent, always in a professional way.
Great service overall.",
Swift and good customer service,"Date of experience: January 09, 2024",
Quick and knowledgeable,Quick and knowledgeable! offered suggestion for the sizing of the pictures,
Rachel Gutierrez is the best!,Rachel Gutierrez is so great to work with. She made it so easy to reorder!,
Very high quality products and great professionalism!,"Dear Flashbay Team,

I hope this message finds you well. I wanted to take a moment to share my feedback on the recent order I placed with Flashbay.

Firstly, I would like to express my sincere appreciation for the excellent products and service I received. The quality of the MBF Notebooks exceeded my expectations, and the attention to detail in the design and functionality truly stood out.

Moreover, your team's commitment to customer service did not go unnoticed. From the initial inquiry to the delivery of the order, the communication was prompt, clear, and professional. Any questions or concerns I had were addressed in a timely manner, contributing to a smooth and hassle-free experience.

I also appreciate the user-friendly online ordering system, which made the entire process convenient and efficient.

In conclusion, I am thoroughly satisfied with my experience with Flashbay and will not hesitate to recommend your services to others.

Thank you for providing top-notch products and service.

Looking forward to future collaborations.",
Fast service and responsive when…,Fast service and responsive when ordering.,
I was looking for company tumblers,"I was looking for company tumblers, and I noticed Flashbay had them for less. I called and I got Marcus, he was informative and agreed to send a sample. That sample arrived the next morning! They don't charge extra for logos, they have there own inhouse factory. easy, professional and quality if superb and gauranteed! I'm planning on ordering more tumblers and other products from Flashbay. Definitely worth it.
Mary-Improving Lives CMHC",
I really enjoyed me experience w/…,I really enjoyed me experience w/ Flashbay,
Would highly recommend,"Would highly recommend.

Taylor was fabulous, she was extremely responsive, answered every question we had, and wasn't pushy but at the same time a great salesperson. We were beyond impressed with the customer service and product. 10 out of 10 would recommend for anyone needing custom flash drives.",
Max was very helpful,"Max was very helpful, professional, and went the extra mile to make sure our order was correct and got to us in a little ahead of schedule.",
Responsive customer service,"Very nice products, and very responsive customer service. It was easy to place an order, and the order arrived quickly.",
Prompt and Fast,Rachel was so prompt in responding and was extremely helpful! I will definitely be looking for more reasons to order from here. Thanks again Rachel!,
Products look amazing,"Products look amazing, Rachel Gutierrez is great to work with.",
Great Experience,"My contact, Olivia, was fantastic. She responded quick to any inquiries and changes I made to my design. The product was delivered promptly and was exactly how I had envisioned. I will definitely use Flashbay again and highly recommend them.",
"Great, Great, great,, did I say Great","Great, fast , excellent craftmanship. Got my product over a week early...fabulous..Will be ordering for here again",
"High quality product, quick delivery",The quality of the branded product and delivery timings are really impressive. Special thank you to Jill for such an exceptional customer service!,
Easy order and great communication,The ordering and processing is easy and quick. Excellent communication throughout the process.,
Great customer service!,"Date of experience: December 19, 2023",
Sales helped guide me on the best…,Sales helped guide me on the best choice for our project. They were extremely fast with making edits to proofs too! The final product is perfect!,
Rachel Gutierrez is AMAZING,"Having Rachel Gutierrez as my sales representative made the process easy and stress-free! Rachel followed up frequently, and created image proofs with each email interaction as she understood more of what we were looking for. We talked for a whole month until purchase was made in early December. She was polite and followed up regularly when I got busy and at times forgot to answer her! She was patient and helpful throughout.",
Excellent Customer Service!!!,Matt was very helpful in choosing our product and was very quick to help with questions and getting quotes. The delivery was quick and the process was great. Nice work!!!,
Wonderful Costumer Service,Wonderful Costumer Service! Fast shipping and easy to order from.,
I want to thank the Flashbay team,"I want to thank the Flashbay team, especially Ellie. She made my ordering super easy. I am looking forward to working with her and her team again.",
Jill - best communicator ever!,"Jill, the principal sales account manager with whom I interacted, was an incredible Flashbay representative! She was knowledgeable about the products, swift and thorough when answering my questions, adept at following up in a timely manner, and fully focused on supporting my decision-making and final order. This was one of the best customer service experiences I have ever had! I highly recommend this company - they clearly make working with their customers a top priority.",
Awesome Customer Service,"Awesome follow-up, amazing customer service, very short lead times, great communication, fast shipping, solid products.. I could go on all day about the ""pro's"" and not 1 ""con""",
Fast and Easy,It was easy to order and I received my product quicker than originally anticipated. The item looks great and am pleased with the quality.,
Ellie was very kind and helped me along…,Ellie was very kind and helped me along every step of the process. These cups are Christmas presents for individuals with disabilities at my workplace and I couldn't have asked for a better sales representative to speak to.,
Awesome experience and affordable transaction!,Brain Truoung was awesome. He walked our organization through the purchasing process and gave us options. It was a very smooth and QUICK transaction!,
"Good Service, Staff Very Helpful","I was satisfied with the product and found the staff to be very attentive and accommodating. They were there to help with any questions or issues I had, and made it very easy to place my custom order.",
Amazing customer Service and Quality Products,"Navigating purchases on my own has often posed challenges for me, but thanks to Brian, every transaction concludes seamlessly. Our company has engaged with Flashbay twice, and each experience has underscored the exceptional quality of their products, from the devices themselves to the imprints that adorn them. Flashbay stands out as an outstanding company, and our allegiance to them remains unwavering as we consistently turn to them for our Solar Powered Charging Banks. The sheer excellence of these products has captivated not only our team but also our clients, who express their admiration regularly. Flashbay's Solar Powered Charging Banks are nothing short of amazing, leaving an indelible mark on both us and those we serve.",
Great Service,"Quick responses, fast turnaround and a great product that I received.",
Great product at a great price!,"Great product at a great price!

I think my expectations were low given the price I received. I was very pleasantly suprised when my tumblers arrived each individually boxed looking quite nice. My experience with my customer service agent was also quite good as he gave me a few different options and worked with me to get to the right product. Very pleased!",
Great Service,"Great communication, everything what I ordered came out nicely, very fast produced and delivered.",
Brian was really patient and very…,Brian was really patient and very helpful. He was responsive and quick. The cups arrived in good shape and arrived ahead of scheduled time 😊,
Very simple to place and order,"Very simple to place and order, products are great, and our account representative, Marcus Quincy, is easy to work with and makes sure our account is handled smoothly.",
Max from Flashbay reached out and…,"Max from Flashbay reached out and answered my questions about the products and provided me with a very informative sheet about the product I was interested in. He also helped me meet my intended budget.

The product arrived right on time and everyone in my company like it.",
Ellie was responsive and promptly…,"Ellie was responsive and promptly prepared our order, got it in production, stayed in touch during the process and contacted me on the day we received it to make sure it was correct and we were happy. Top notch service!",
My sales account manager,"My sales account manager, Matt Kusanovich, is wonderful to work with. He is very quick with responding and we have been very pleased with the product.",
